# ε=64
# n=1000000
data_index,key,slope,intercept
0,21779930,4.4580494375120963e-06,-29.076698793241084
208,60403890,0.00048160834178246635,191.77068369790266
976,61897550,0.00094526647923501824,939.67962527995254
2928,63932680,0.0018016404523300647,2901.3858324789544
3627,64299780,0.0039365739892466422,3683.799133451357
4722,64580430,0.0030233853847005202,4677.973783567598
7073,65351050,0.0044442312101799303,7037.1822642000114
8372,65636860,0.006166714267712884,8376.3651231048818
9954,65903280,0.0061453172835865383,9890.8717864614326
10801,66040880,0.02126612196077498,10737.810277404075
11838,66089570,0.01906613876208587,11852.900869781353
16840,66347710,0.021358506691869706,16866.814249346027
18389,66415950,0.036012711171765155,18369.671314292462
24232,66576920,0.044083414230446523,24275.887970384498
27261,66646160,0.033723095331254471,27214.337153638207
29329,66706960,0.033883684180361618,29299.830354449605
32078,66787040,0.036609738298841677,32064.380452443445
33386,66821360,0.046492301900918388,33448.987240356083
35483,66866500,0.046734766823710837,35495.813270086516
38533,66932919,0.045930725990485512,38521.403571407722
43577,67041560,0.064272713765693485,43638.535639997028
45214,67067080,0.063154511482373159,45151.226507137472
47460,67102600,0.075396580558216565,47519.618600724155
50311,67140510,0.046767705078357942,50370.338760346349
52411,67185530,0.037366326931294958,52442.724182602425
57692,67324290,0.05986250615542238,57631.690129213984
60746,67375240,0.06258149718285087,60733.82379930011
64088,67427800,0.065678886648714567,64030.085946237659
66901,67470530,0.087450338145244813,66852.917751075876
69769,67503130,0.088669223283626996,69811.480098464619
72837,67538000,0.083960333145115754,72814.441381987578
76148,67576920,0.093076428556372911,76129.375750901081
82934,67649320,0.10015844891729706,82938.799519202455
86744,67687960,0.083486782191143973,86682.413170363577
90314,67730680,0.095712719935674306,90376.601638254192
92787,67756540,0.080085945226970431,92779.132055523345
95510,67789830,0.086304388710929917,95565.700906074063
99353,67832970,0.10373862257158226,99295.547451472294
106181,67898720,0.1201450929668553,106194.94915149555
109959,67929500,0.10685174177099149,109977.90847680981
119131,68014550,0.10085971671713566,119192.68067078625
122056,68043590,0.097446218673763584,121999.13336660013
125817,68082090,0.10890215276998466,125805.68676822654
129795,68118120,0.1155617536062144,129735.36015095548
134821,68161550,0.12795244130937948,134856.47695084316
139551,68198770,0.11801442587317289,139537.56323652404
143656,68233120,0.12314744139284382,143644.80747716521
146993,68259780,0.12967433434445568,146947.52765840917
151217,68292190,0.14622858137702274,151174.35470980629
155262,68319700,0.15015696304409154,155318.03664559168
160017,68351440,0.12514827882330896,160072.20523502657
162735,68373230,0.12895023820404026,162716.0681850796
171460,68441540,0.11784852136304807,171399.45835919782
174857,68470310,0.13669525404425633,174793.11401232566
180608,68512370,0.14338572920465471,180583.06340964095
184376,68538360,0.15771359585297163,184432.76632602825
187280,68556830,0.15667905824039653,187218.06641883519
190568,68577800,0.18617751201212151,190603.59650615393
195558,68604770,0.17024516610924734,195530.78832396886
198908,68624220,0.18030199902486592,198875.33343442223
203187,68647770,0.19896678907786525,203242.94539199122
205736,68660630,0.19512833342348677,205686.68999837724
211342,68689280,0.22120061104000661,211279.56603773585
217584,68717470,0.24637093121076814,217625.84699411118
220177,68728090,0.22619661190255765,220234.98601649832
223769,68744000,0.22028941910356074,223824.74523835911
228477,68765420,0.22284141726866185,228475.77915376677
235649,68797900,0.20934158458738916,235599.00905086508
241709,68826780,0.22273444781863556,241688.18031209597
246782,68849940,0.210566917261298,246720.23287249405
252494,68877050,0.19971224297831612,252538.3219330671
261205,68920770,0.193262676497183,261257.7358280587
265005,68940500,0.1901147628155779,265034.54224954166
271021,68972330,0.17791282743721307,270957.52551984877
276961,69005710,0.1925913318968746,276901.14601977554
283663,69040480,0.20509539124108367,283649.34883075237
292849,69085020,0.20406567646648123,292823.38623625487
298275,69111410,0.23252413801194289,298233.15172338953
301332,69124450,0.23909280143338954,301376.87181176223
308860,69156020,0.24214608188758863,308798.15777182505
312449,69170830,0.23735922731162278,312508.00115077062
315378,69183200,0.24115936418291128,315402.95133676444
320388,69204140,0.24586431751727804,320324.11520467836
324224,69219740,0.271259146650451,324283.99621769535
326982,69229930,0.27252550855368349,326955.29492416751
333434,69253940,0.23526193466429922,333493.31035179652
335673,69263490,0.21017333159341772,335713.75779699685
345401,69309270,0.22119690442797035,345463.58421408535
349248,69326680,0.23475848041181026,349190.12967265028
355178,69351910,0.26733746694629343,355125.2723807787
360200,69370650,0.2743555116972668,360191.4257344767
367712,69398300,0.2430792024859514,367656.35824401771
370383,69409250,0.29424198250728863,370396.57653061224
375896,69428160,0.25485482654600302,375873.61095399698
380625,69446550,0.27634880730748242,380638.76412520284
386896,69468950,0.28679127725856698,386842.83925233645
392650,69488970,0.34014938446208736,392600.89174247051
